Time,Discharge
13:54:40..002,250.53
13:54:40..020,248.94
13:54:40..036,247.42
13:54:40..053,245.92
13:54:40..069,245.83
13:54:40..155,245.75
13:54:40..256,245.64
13:54:40..377,245.48
13:54:40..465,245.3
13:54:40..562,245.09
13:54:40..653,244.87
13:54:40..765,244.64
13:54:40..885,244.39
13:54:40..960,244.17
13:54:41..074,243.95
13:54:41..175,243.73
13:54:41..273,243.51
13:54:41..361,243.29
13:54:41..450,243.09
13:54:41..569,242.87
13:54:41..662,242.65
13:54:41..759,242.48
13:54:41..859,242.3
13:54:41..956,242.13
13:54:42..050,241.98
13:54:42..148,241.85
13:54:42..243,241.74
13:54:42..355,241.65
13:54:42..452,241.55
13:54:42..547,241.48
13:54:42..643,241.42
13:54:42..753,241.35
13:54:42..851,241.32
13:54:42..947,241.27
13:54:43..041,241.23
13:54:43..155,241.18
13:54:43..250,239.75
13:54:43..348,238.35
13:54:43..442,237.02
13:54:43..554,237.1
13:54:43..651,237.23
13:54:43..747,237.34
13:54:43..843,237.47
13:54:43..954,237.64
13:54:44..052,237.81
13:54:44..147,237.95
13:54:44..243,239.43
13:54:44..355,240.87
13:54:44..451,242.24
13:54:44..547,242.16
13:54:44..644,242.04
13:54:44..755,241.94
13:54:44..851,241.79
13:54:44..948,241.61
13:54:45..042,241.43
13:54:45..155,241.26
13:54:45..251,241.11
13:54:45..346,240.98
13:54:45..443,240.84
13:54:45..555,240.7
13:54:45..650,240.58
13:54:45..748,240.47
13:54:45..844,240.33
13:54:45..955,240.19
13:54:46..050,239.99
13:54:46..146,239.81
13:54:46..243,239.61
13:54:46..355,239.41
13:54:46..450,240.59
13:54:46..548,241.74
13:54:46..642,242.87
13:54:46..757,244
13:54:46..851,246.54
13:54:46..948,251.84
13:54:47..043,258.46
13:54:47..154,264.96
13:54:47..250,271.35
13:54:47..348,277.62
13:54:47..443,282.4
13:54:47..555,287.09
13:54:47..651,291.7
13:54:47..747,296.17
13:54:47..845,299.14
13:54:47..956,299.27
13:54:48..051,297.99
13:54:48..148,296.72
13:54:48..244,295.44
13:54:48..355,294.19
13:54:48..452,292.94
13:54:48..547,291.72
13:54:48..643,290.55
13:54:48..755,289.4
13:54:48..851,288.29
13:54:48..947,287.2
13:54:49..044,286.14
13:54:49..156,285.13
13:54:49..252,284.14
13:54:49..347,283.17
13:54:49..444,282.22
13:54:49..555,281.25
13:54:49..651,280.26
13:54:49..749,279.31
13:54:49..842,278.35
13:54:49..957,277.41
13:54:50..051,276.46
13:54:50..147,275.5
13:54:50..242,274.57
13:54:50..356,273.66
13:54:50..450,272.79
13:54:50..548,272
13:54:50..643,269.91
13:54:50..756,267.87
13:54:50..850,265.93
13:54:50..947,264.07
13:54:51..044,262.29
13:54:51..156,260.56
13:54:51..251,258.88
13:54:51..349,257.25
13:54:51..445,255.66
13:54:51..555,254.07
13:54:51..651,253.83
13:54:51..747,253.51
13:54:51..843,253.17
13:54:51..957,252.82
13:54:52..051,252.43
13:54:52..148,252.03
13:54:52..243,251.6
13:54:52..356,251.13
13:54:52..451,250.61
13:54:52..549,250.07
13:54:52..643,249.57
13:54:52..756,249.13
13:54:52..852,248.71
13:54:52..948,248.25
13:54:53..045,247.79
13:54:53..155,247.39
13:54:53..252,247.03
13:54:53..347,246.72
13:54:53..445,246.49
13:54:53..556,246.29
13:54:53..651,246.1
13:54:53..748,245.95
13:54:53..844,245.79
13:54:53..956,245.67
13:54:54..051,246.96
13:54:54..148,248.2
13:54:54..244,249.46
13:54:54..355,250.66
13:54:54..450,251.8
13:54:54..548,252.86
13:54:54..644,253.89
13:54:54..756,254.82
13:54:54..851,255.72
13:54:54..949,256.58
13:54:55..043,256.05
13:54:55..155,255.53
13:54:55..252,254.99
13:54:55..349,254.5
13:54:55..443,254.06
13:54:55..555,253.68
13:54:55..652,253.3
13:54:55..749,252.94
13:54:55..844,252.61
13:54:55..956,252.3
13:54:56..051,251.97
13:54:56..147,251.65
13:54:56..243,251.31
13:54:56..356,250.94
13:54:56..451,250.59
13:54:56..548,250.25
13:54:56..643,249.95
13:54:56..757,249.68
13:54:56..851,249.43
13:54:56..950,249.16
